"TIMESTAMP","EQ_NAME","ATTR","VALUE","CALC_PROC"
"Feb 20 2015  5:41PM","PL_TB_E_P","DP","","PHD.PDI_16_0110"
"Feb 20 2015  5:41PM","PL_TB_E_P","CHOKE","","PHD.HC_16_0108"
"Feb 20 2015  5:41PM","PL_TB_E_P","ROUTING","","PHD.HY_16_0130"
"Feb 20 2015  5:41PM","PL_TB_E_P","PMFLD","",""
"Feb 20 2015  5:41PM","PL_TB_E_P","GASLIFT","","PHD.FIC_23_0256"
"Feb 20 2015  5:41PM","PL_TB_E_P","GROUP","",""
"Feb 20 2015  5:41PM","PL_TB_E_P","CLUSTER","",""
"Feb 20 2015  5:41PM","PL_TB_E_T","EQUIPMENT_NAME","E_T",""
"Feb 20 2015  5:41PM","PL_TB_E_T","EQUIPMENT_DESC","E Test - Troll B",""
"Feb 20 2015  5:41PM","PL_TB_E_T","QOIL","","PHD.OFI_18_6296TA"
"Feb 20 2015  5:41PM","PL_TB_E_T","QWAT","","PHD.OFI_18_6296TB"
"Feb 20 2015  5:41PM","PL_TB_E_T","QLIQ","","PHD.OFI_18_6296TC"
"Feb 20 2015  5:41PM","PL_TB_E_T","QGAS","","PHD.OFI_18_6296TD"
"Feb 20 2015  5:41PM","PL_TB_E_T","WC","","PHD.OFFI_18_6296TA"
"Feb 20 2015  5:41PM","PL_TB_E_T","GOR","","PHD.OFFI_18_6296TB"
"Feb 20 2015  5:41PM","PL_TB_E_T","UCP","","PHD.PZTI_16_0162"
"Feb 20 2015  5:41PM","PL_TB_E_T","UCT","","PHD.TT_16_0161"
"Feb 20 2015  5:41PM","PL_TB_E_T","DCP","","PHD.PZTI_16_0163"
"Feb 20 2015  5:41PM","PL_TB_E_T","DP","","PHD.PDI_16_0160"
"Feb 20 2015  5:41PM","PL_TB_E_T","CHOKE","","PHD.HC_16_0158"
"Feb 20 2015  5:41PM","PL_TB_E_T","ROUTING","","PHD.HY_16_0180"
"Feb 20 2015  5:41PM","PL_TB_E_T","PMFLD","",""
"Feb 20 2015  5:41PM","PL_TB_E_T","GASLIFT","","PHD.FIC_23_0756"
"Feb 20 2015  5:41PM","PL_TB_E_T","GROUP","",""
"Feb 20 2015  5:41PM","PL_TB_E_T","CLUSTER","",""
"Feb 20 2015  5:41PM","PL_TB_F_P","EQUIPMENT_NAME","F_P",""
"Feb 20 2015  5:41PM","PL_TB_F_P","EQUIPMENT_DESC","F Prod - Troll B",""
"Feb 20 2015  5:41PM","PL_TB_F_P","QOIL","","PHD.OFI_18_6396PA"
"Feb 20 2015  5:41PM","PL_TB_F_P","QWAT","","PHD.OFI_18_6396PB"
"Feb 20 2015  5:41PM","PL_TB_F_P","QLIQ","","PHD.OFI_18_6396PC"
"Feb 20 2015  5:41PM","PL_TB_F_P","QGAS","","PHD.OFI_18_6396PD"
"Feb 20 2015  5:41PM","PL_TB_F_P","WC","","PHD.OFFI_18_6396PA"
"Feb 20 2015  5:41PM","PL_TB_F_P","GOR","","PHD.OFFI_18_6396PB"
"Feb 20 2015  5:41PM","PL_TB_F_P","UCP","","PHD.PZTI_16_0212"
"Feb 20 2015  5:41PM","PL_TB_F_P","UCT","","PHD.TT_16_0211"
"Feb 20 2015  5:41PM","PL_TB_F_P","DCP","","PHD.PZTI_16_0213"
"Feb 20 2015  5:41PM","PL_TB_F_P","DP","","PHD.PDI_16_0210"
"Feb 20 2015  5:41PM","PL_TB_F_P","CHOKE","","PHD.HC_16_0208"
"Feb 20 2015  5:41PM","PL_TB_F_P","ROUTING","","PHD.HY_16_0230"
"Feb 20 2015  5:41PM","PL_TB_F_P","PMFLD","",""
"Feb 20 2015  5:41PM","PL_TB_F_P","GASLIFT","","PHD.FIC_23_0261"
"Feb 20 2015  5:41PM","PL_TB_F_P","GROUP","",""
"Feb 20 2015  5:41PM","PL_TB_F_P","CLUSTER","",""
"Feb 20 2015  5:41PM","PL_TB_F_T","EQUIPMENT_NAME","F_T",""
"Feb 20 2015  5:41PM","PL_TB_F_T","EQUIPMENT_DESC","F Test - Troll B",""
"Feb 20 2015  5:41PM","PL_TB_F_T","QOIL","","PHD.OFI_18_6396TA"
"Feb 20 2015  5:41PM","PL_TB_F_T","QWAT","","PHD.OFI_18_6396TB"
"Feb 20 2015  5:41PM","PL_TB_F_T","QLIQ","","PHD.OFI_18_6396TC"
"Feb 20 2015  5:41PM","PL_TB_F_T","QGAS","","PHD.OFI_18_6396TD"
"Feb 20 2015  5:41PM","PL_TB_F_T","WC","","PHD.OFFI_18_6396TA"
"Feb 20 2015  5:41PM","PL_TB_F_T","GOR","","PHD.OFFI_18_6396TB"
"Feb 20 2015  5:41PM","PL_TB_F_T","UCP","","PHD.PZTI_16_0262"
"Feb 20 2015  5:41PM","PL_TB_F_T","UCT","","PHD.TT_16_0261"
"Feb 20 2015  5:41PM","PL_TB_F_T","DCP","","PHD.PZTI_16_0263"
"Feb 20 2015  5:41PM","PL_TB_F_T","DP","","PHD.PDI_16_0260"
"Feb 20 2015  5:41PM","PL_TB_F_T","CHOKE","","PHD.HC_16_0258"
"Feb 20 2015  5:41PM","PL_TB_F_T","ROUTING","","PHD.HY_16_0280"
"Feb 20 2015  5:41PM","PL_TB_F_T","PMFLD","",""
"Feb 20 2015  5:41PM","PL_TB_F_T","GASLIFT","","PHD.FIC_23_0761"
"Feb 20 2015  5:41PM","PL_TB_F_T","GROUP","",""
"Feb 20 2015  5:41PM","PL_TB_F_T","CLUSTER","",""
"Feb 20 2015  5:41PM","PL_TB_G_P","EQUIPMENT_NAME","G_P",""
"Feb 20 2015  5:41PM","PL_TB_G_P","EQUIPMENT_DESC","G Prod - Troll B",""
"Feb 20 2015  5:41PM","PL_TB_G_P","QOIL","","PHD.OFI_18_6496PA"
"Feb 20 2015  5:41PM","PL_TB_G_P","QWAT","","PHD.OFI_18_6496PB"
"Feb 20 2015  5:41PM","PL_TB_G_P","QLIQ","","PHD.OFI_18_6496PC"
"Feb 20 2015  5:41PM","PL_TB_G_P","QGAS","","PHD.OFI_18_6496PD"
"Feb 20 2015  5:41PM","PL_TB_G_P","WC","","PHD.OFFI_18_6496PA"
"Feb 20 2015  5:41PM","PL_TB_G_P","GOR","","PHD.OFFI_18_6496PB"
"Feb 20 2015  5:41PM","PL_TB_G_P","UCP","","PHD.PZTI_16_0312"
"Feb 20 2015  5:41PM","PL_TB_G_P","UCT","","PHD.TT_16_0311"
"Feb 20 2015  5:41PM","PL_TB_G_P","DCP","","PHD.PZTI_16_0313"
"Feb 20 2015  5:41PM","PL_TB_G_P","DP","","PHD.PDI_16_0310"
"Feb 20 2015  5:41PM","PL_TB_G_P","CHOKE","","PHD.HC_16_0308"
"Feb 20 2015  5:41PM","PL_TB_G_P","ROUTING","","PHD.HY_16_0330"
"Feb 20 2015  5:41PM","PL_TB_G_P","PMFLD","",""
"Feb 20 2015  5:41PM","PL_TB_G_P","GASLIFT","","PHD.FIC_23_0266"
"Feb 20 2015  5:41PM","PL_TB_G_P","GROUP","",""
"Feb 20 2015  5:41PM","PL_TB_G_P","CLUSTER","",""
"Feb 20 2015  5:41PM","PL_TB_G_T","EQUIPMENT_NAME","G_T",""
"Feb 20 2015  5:41PM","PL_TB_G_T","EQUIPMENT_DESC","G Test - Troll B",""
"Feb 20 2015  5:41PM","PL_TB_G_T","QOIL","","PHD.OFI_18_6496TA"
"Feb 20 2015  5:41PM","PL_TB_G_T","QWAT","","PHD.OFI_18_6496TB"
"Feb 20 2015  5:41PM","PL_TB_G_T","QLIQ","","PHD.OFI_18_6496TC"
"Feb 20 2015  5:41PM","PL_TB_G_T","QGAS","","PHD.OFI_18_6496TD"
"Feb 20 2015  5:41PM","PL_TB_G_T","WC","","PHD.OFFI_18_6496TA"
"Feb 20 2015  5:41PM","PL_TB_G_T","GOR","","PHD.OFFI_18_6496TB"
"Feb 20 2015  5:41PM","PL_TB_G_T","UCP","","PHD.PZTI_16_0362"
"Feb 20 2015  5:41PM","PL_TB_G_T","UCT","","PHD.TT_16_0361"
"Feb 20 2015  5:41PM","PL_TB_G_T","DCP","","PHD.PZTI_16_0363"
